,index,Player,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Season,cluster
63,290,Miles Bridges,32.2,5.7,12.366666666666667,0.4633333333333333,1.8333333333333333,5.233333333333333,0.35300000000000004,2.0666666666666664,2.566666666666667,0.8150000000000001,1.6333333333333335,2.3000000000000003,1.3,5.0,6.3,2.433333333333333,0.8333333333333334,0.8000000000000002,15.299999999999999,2020.0,1
64,296,Montrezl Harrell,25.766666666666666,6.266666666666667,10.200000000000001,0.6183333333333333,0.03333333333333333,0.2333333333333333,0.08333333333333333,3.366666666666667,4.766666666666667,0.7056666666666667,1.4000000000000001,2.0666666666666664,2.5,4.7,7.166666666666667,1.6666666666666667,0.6333333333333333,0.8333333333333334,15.9,2020.0,1
65,298,Myles Turner,29.25,4.4,9.05,0.49150000000000005,1.6,4.3,0.3695,1.85,2.55,0.728,1.4,2.6,1.45,5.6,7.05,1.1,0.6499999999999999,2.45,12.35,2020.0,1
66,305,Nickeil Alexander-Walker,28.8,5.0,13.8,0.362,2.0,6.8,0.301,1.5,1.9,0.78,1.5,1.7,1.0,2.9,4.0,2.7,0.9,0.4,13.5,2021.0,1
67,310,Norman Powell,30.03333333333333,5.933333333333334,12.299999999999999,0.48233333333333334,2.1666666666666665,5.266666666666667,0.409,3.1666666666666665,3.6999999999999997,0.846,1.4333333333333333,2.1333333333333333,0.4666666666666666,2.6333333333333333,3.1,1.7666666666666666,1.0666666666666667,0.3666666666666667,17.2,2020.0,1
68,312,Ogugua Anunoby,33.599999999999994,5.85,12.95,0.4675,2.0,5.4,0.378,1.6,2.1,0.7655,1.4,2.55,1.4,3.9499999999999997,5.35,2.1500000000000004,1.45,0.6499999999999999,15.350000000000001,2020.0,1
69,318,P.J. Washington,30.4,4.65,10.45,0.4475,1.65,4.25,0.38,1.6,2.3,0.696,1.8,2.7,1.25,4.75,5.95,2.3,1.0,1.0,12.55,2019.5,1
70,330,R.J. Barrett,32.199999999999996,5.7,13.666666666666666,0.4166666666666667,1.5333333333333332,4.366666666666666,0.35600000000000004,2.6333333333333333,3.8000000000000003,0.6880000000000001,1.9333333333333333,2.2666666666666666,0.8333333333333334,4.666666666666666,5.533333333333334,2.5666666666666664,0.7333333333333334,0.3,15.566666666666668,2020.0,1
71,335,Reggie Jackson,28.15,5.25,12.65,0.4225,2.3,6.300000000000001,0.381,1.2,1.45,0.804,1.5,1.9,0.5,2.7,3.25,3.55,0.6,0.15000000000000002,13.95,2020.5,1
72,336,Richaun Holmes,28.549999999999997,6.05,9.0,0.6719999999999999,0.05,0.2,0.34099999999999997,2.2,2.75,0.8005,1.35,3.3,2.5999999999999996,6.4,8.95,1.5499999999999998,0.44999999999999996,1.3,14.35,2020.5,1
73,337,Ricky Rubio,28.766666666666666,3.866666666666667,10.1,0.3873333333333333,1.3666666666666665,3.9333333333333336,0.33899999999999997,2.5,2.9,0.8573333333333334,2.3333333333333335,2.266666666666667,0.5,3.5,4.0,7.133333333333334,1.3333333333333333,0.16666666666666666,11.633333333333333,2020.0,1
74,348,Rudy Gobert,32.333333333333336,5.5,7.8999999999999995,0.6996666666666668,0.0,0.03333333333333333,0.0,3.766666666666667,5.833333333333333,0.6429999999999999,1.8666666666666665,2.7000000000000006,3.266666666666667,10.633333333333333,13.9,1.2666666666666666,0.8000000000000002,2.3333333333333335,14.766666666666667,2020.0,1
75,349,Rui Hachimura,31.5,5.4,11.4,0.478,0.8,2.4,0.328,2.2,2.8,0.77,1.2,2.1,0.9,4.6,5.5,1.4,0.8,0.1,13.8,2020.0,1
76,352,Saddiq Bey,29.9,4.3,11.5,0.3765,2.15,6.449999999999999,0.33599999999999997,1.65,2.05,0.8,1.1,1.65,1.3,4.05,5.3,1.95,0.85,0.2,12.3,2020.5,1
77,353,Scottie Barnes,35.6,6.1,12.5,0.489,0.7,1.9,0.357,2.1,3.0,0.723,2.0,2.8,2.9,5.2,8.0,3.2,1.2,0.8,15.1,2021.0,1
78,356,Serge Ibaka,27.0,6.2,12.2,0.512,1.3,3.3,0.385,1.6,2.3,0.718,2.0,2.8,2.1,6.1,8.2,1.4,0.5,0.8,15.4,2019.0,1
